Title,Brand,Quantity,MRP,ean_code,Unit,TLC,MLC,LLC,Images
2-Minute Instant Noodles - Masala MAGGI  140 g,MAGGI ,140 g,28,8901058000276,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/266165_18-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-2_1-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-3_1-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-4_1-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-5_1-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-6_1-maggi-masala-2-minute-instant-noodles.jpg, https://www.bigbasket.com/media/uploads/p/l/266165-7_1-maggi-masala-2-minute-instant-noodles.jpg"
2-Minute Instant Noodles - Masala MAGGI  280 g,MAGGI ,280 g,56,8901058009477,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/266162_20-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-2_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-3_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-4_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-5_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-6_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266162-7_1-maggi-2-minute-instant-noodles-masala.jpg"
Noodles - Masala MAGGI  4x70 g,MAGGI ,4x70 g,56,,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/1206569_3-maggi-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/1206569-2_1-maggi-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/1206569-3_1-maggi-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/1206569-4_1-maggi-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/1206569-5_1-maggi-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/1206569-6_1-maggi-noodles-masala.jpg"
2-Minute Instant Noodles - Masala MAGGI  420 g,MAGGI ,420 g,78,8901058010459,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/266112_21-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-2_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-3_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-4_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-5_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-6_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266112-7_1-maggi-2-minute-instant-noodles-masala.jpg"
2-Minute Instant Noodles - Masala MAGGI  6x70 g,MAGGI ,6x70 g,84,,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,https://www.bigbasket.com/media/uploads/p/l/1200147_3-maggi-2-minute-instant-noodles-masala.jpg
2-Minute Instant Noodles - Masala MAGGI  560 g,MAGGI ,560 g,112,8901058006735,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,"https://www.bigbasket.com/media/uploads/p/l/266109_23-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-2_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-3_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-4_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-5_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-6_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-7_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-8_1-maggi-2-minute-instant-noodles-masala.jpg, https://www.bigbasket.com/media/uploads/p/l/266109-9_1-maggi-2-minute-instant-noodles-masala.jpg"
2-Minute Instant Noodles - Masala MAGGI  12x70 g,MAGGI ,12x70 g,168,,g,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Instant Noodles,https://www.bigbasket.com/media/uploads/p/l/1201474_2-maggi-2-minute-instant-noodles-masala.jpg
Frozen Green Peas fresho! 500 g,fresho!,500 g,135,40192104,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,"https://www.bigbasket.com/media/uploads/p/l/40192104_9-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-2_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-3_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-4_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-5_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-6_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-7_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-8_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40192104-9_7-fresho-frozen-green-peas.jpg"
Frozen Green Peas fresho! 1 Kg,fresho!,1 Kg,240,40163718,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,"https://www.bigbasket.com/media/uploads/p/l/40163718_11-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-2_13-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-3_11-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-4_11-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-5_11-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-6_10-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-7_9-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-8_9-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-9_9-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/40163718-10_9-fresho-frozen-green-peas.jpg"
Frozen Green Peas fresho! 2x500 g,fresho!,2x500 g,270,,g,Snacks & Branded Foods,Frozen Veggies & Snacks,Frozen Vegetables,"https://www.bigbasket.com/media/uploads/p/l/1210065_9-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-2_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-3_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-4_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-5_8-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-6_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-7_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-8_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-9_7-fresho-frozen-green-peas.jpg, https://www.bigbasket.com/media/uploads/p/l/1210065-10_7-fresho-frozen-green-peas.jpg"
